input_id,hash40,piece,source,mult,nV,nL_norm,nL_sem,nRaw,delta,a,b_counted,b_spin,b_opaque,b_collapsed,c1,c2v,c2l,c2div,dV,dL,dV_om,nL_spawn_sem,delta_spawn,ood,c3,missing,ok
143,a5ea85b8fed64e21,J,0,2,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
144,a5ea85b8fed64e21,T,1,2,64,34,34,34,30,30,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
145,b5f1a9dbc0f564b8,S,0,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
146,b5f1a9dbc0f564b8,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
147,caeea47723490123,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
148,caeea47723490123,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
149,3b1cdf071ec015a3,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
150,3b1cdf071ec015a3,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
151,d51ce447e62580f1,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
152,d51ce447e62580f1,L,1,1,35,34,34,34,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
153,8023aff0a8248751,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
154,8023aff0a8248751,L,1,1,35,34,34,34,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
155,a298dcefc11a9aa2,T,0,2,61,34,34,34,27,27,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
156,a298dcefc11a9aa2,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
157,8461661d115955f1,T,0,2,63,34,34,34,29,29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
158,8461661d115955f1,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
159,ee4a711410ed8dde,J,0,2,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
160,ee4a711410ed8dde,T,1,2,61,34,34,34,27,27,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
161,ea6b4b31ae7d5088,S,0,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
162,ea6b4b31ae7d5088,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
163,00cb1768cd7107e8,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
164,d8fee8f896eb598b,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
165,d8fee8f896eb598b,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
166,0a96a2f2b0d443f3,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
167,0a96a2f2b0d443f3,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
168,d9a2eaf31ec58509,L,0,1,35,34,34,34,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
169,d9a2eaf31ec58509,I,1,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
170,bc5956359b950439,I,0,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
171,bc5956359b950439,L,1,2,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
172,7ed24bca356fd1f8,S,0,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
173,7ed24bca356fd1f8,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
174,f4b36b56c0944e08,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
175,b012fec3bae765e3,I,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
176,b012fec3bae765e3,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
177,78191174b60792bf,I,0,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
178,78191174b60792bf,L,1,2,35,34,34,34,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
179,00aa61374a30326b,I,0,2,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
180,00aa61374a30326b,L,1,2,35,34,34,34,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
