# kind board t x y r search_type combo b2b under_attack clear value t2_value t3_value death out_combo out_b2b out_under_attack out_map_rise out_acc_value out_like out_value
eval 1 J 2 8 0 0 2 0 1 0 -2628.527410266 0 0 0 0 0 0 0 0 0 0
get 1 J 2 8 0 0 2 0 1 0 -2628.527410266 0 0 0 0 0 0 1 0.000000 -145035.377223 370327212.313874
eval 1 J 3 9 0 0 3 0 1 0 -2738.451973097 0 0 0 0 0 0 0 0 0 0
get 1 J 3 9 0 0 3 0 1 0 -2738.451973097 0 0 0 0 0 0 1 0.000000 -118665.308637 385846116.472188
eval 1 J 4 9 0 0 4 0 1 0 -2634.107813350 0 0 0 0 0 0 0 0 0 0
get 1 J 4 9 0 0 4 0 1 0 -2634.107813350 0 0 0 0 0 0 1 0.000000 -118665.308637 371140072.524305
eval 1 J 5 9 0 0 0 1 1 0 -2665.658548541 0 0 0 0 0 0 0 0 0 0
get 1 J 5 9 0 0 0 1 1 0 -2665.658548541 0 0 0 0 1 0 1 0.000000 -118665.308637 375586766.037693
eval 1 T 3 9 0 0 1 1 1 0 -2696.569380047 0 0 0 0 0 0 0 0 0 0
get 1 T 3 9 0 0 1 1 1 0 -2696.569380047 0 0 0 0 1 0 1 -582198215978.398193 -118665.308637 -581818272705.511475
eval 1 T 4 9 0 0 2 1 1 0 -2613.166516825 0 0 0 0 0 0 0 0 0 0
get 1 T 4 9 0 0 2 1 1 0 -2613.166516825 0 0 0 0 1 0 1 -582198215978.398193 -118665.308637 -581830027327.666626
eval 1 T 3 9 2 0 3 1 1 0 -2602.323854350 0 0 0 0 0 0 0 0 0 0
get 1 T 3 9 2 0 3 1 1 0 -2602.323854350 0 0 0 0 1 0 1 -582198215978.398193 -131850.342930 -581831568654.489136
eval 1 T 3 9 3 0 4 1 1 0 -2647.293074125 0 0 0 0 0 0 0 0 0 0
get 1 T 3 9 3 0 4 1 1 0 -2647.293074125 0 0 0 0 1 0 1 -582198215978.398193 -118665.308637 -581825217603.263550
eval 1 T 3 9 1 0 0 0 1 0 -2543.018013077 0 0 0 0 0 0 0 0 0 0
get 1 T 3 9 1 0 0 0 1 0 -2543.018013077 0 0 0 0 0 0 1 -582198215978.398193 -118665.308637 -581839913908.587769
eval 1 T 4 10 2 0 1 0 1 0 -2669.599743697 0 0 0 0 0 0 0 0 0 0
get 1 T 4 10 2 0 1 0 1 0 -2669.599743697 0 0 0 0 0 0 1 -582198215978.398193 -118665.308637 -581822073748.697632
safe 2 I 0 0 0 0 0 0 0 0 0 3 20 0 0 0 0 0 0 0 0
safe 2 O 0 0 0 0 0 0 0 0 0 3 20 0 0 0 0 0 0 0 0
safe 2 S 0 0 0 0 0 0 0 0 0 3 20 0 0 0 0 0 0 0 0
safe 2 Z 0 0 0 0 0 0 0 0 0 3 20 0 0 0 0 0 0 0 0
