# board t x y r type flags is_check is_last_rotate is_ready is_mini_ready
1 J 1 8 3 0 0 0 0 0 0
1 J 2 9 3 0 0 0 0 0 0
1 J 3 9 3 0 0 0 0 0 0
1 J 4 10 3 0 0 0 0 0 0
1 J 5 10 3 0 0 0 0 0 0
1 J 6 10 3 0 0 0 0 0 0
1 J 7 8 3 0 0 0 0 0 0
1 J 8 9 3 0 0 0 0 0 0
1 J 0 8 2 0 0 0 0 0 0
1 J 1 9 2 0 0 0 0 0 0
1 J 2 9 2 0 0 0 0 0 0
1 J 3 10 2 0 0 0 0 0 0
1 J 4 10 2 0 0 0 0 0 0
1 J 5 9 2 0 0 0 0 0 0
1 J 6 9 2 0 0 0 0 0 0
1 J 7 9 2 0 0 0 0 0 0
1 J -1 9 1 0 0 0 0 0 0
1 J 0 8 1 0 0 0 0 0 0
1 J 1 7 1 0 0 0 0 0 0
1 J 2 9 1 0 0 0 0 0 0
1 J 3 9 1 0 0 0 0 0 0
1 J 4 10 1 0 0 0 0 0 0
1 J 5 10 1 0 0 0 0 0 0
1 J 6 7 1 0 0 0 0 0 0
1 J 7 8 1 0 0 0 0 0 0
1 T 3 9 0 0 257 1 1 0 0
1 T 4 9 0 0 1 1 0 0 0
1 T 3 9 2 0 257 1 1 0 0
1 T 3 9 3 0 257 1 1 0 0
1 T 3 9 1 0 257 1 1 0 0
1 T 4 10 2 0 257 1 1 0 0
1 T 4 10 3 0 257 1 1 0 0
1 T 4 10 1 0 257 1 1 0 0
1 T 2 8 0 0 1 1 0 0 0
1 T 2 9 2 0 257 1 1 0 0
1 T 2 9 3 0 257 1 1 0 0
1 T 2 9 1 0 257 1 1 0 0
1 T 5 9 0 0 1 1 0 0 0
1 T 5 10 3 0 257 1 1 0 0
1 T 5 10 2 0 257 1 1 0 0
1 T 5 10 1 0 257 1 1 0 0
1 T 1 8 0 0 257 1 1 0 0
1 T 1 8 1 0 257 1 1 0 0
1 T 6 9 0 0 257 1 1 0 0
1 T 6 9 3 0 257 1 1 0 0
1 T 0 8 0 0 257 1 1 0 0
1 T 1 8 2 0 257 1 1 0 0
1 T 0 8 1 0 257 1 1 0 0
1 T 6 9 2 0 257 1 1 0 0
1 T 0 8 2 0 257 1 1 0 0
1 T 0 8 3 0 257 1 1 0 0
1 T 1 7 3 0 1 1 0 0 0
1 T -1 9 1 0 1 1 0 0 0
1 T 7 8 0 0 257 1 1 0 0
1 T 7 8 3 0 257 1 1 0 0
1 T 8 9 3 0 1 1 0 0 0
1 T 7 8 2 0 257 1 1 0 0
1 T 7 8 1 0 257 1 1 0 0
1 T 6 7 1 0 16842753 1 0 1 1
2 I 0 18 0 0 0 0 0 0 0
2 I 1 18 0 0 0 0 0 0 0
2 I 2 18 0 0 0 0 0 0 0
2 I 3 18 0 0 0 0 0 0 0
2 I 4 18 0 0 0 0 0 0 0
2 I 5 18 0 0 0 0 0 0 0
2 I 6 18 0 0 0 0 0 0 0
2 I -1 20 3 0 0 0 0 0 0
2 I 0 18 3 0 0 0 0 0 0
2 I 1 20 3 0 0 0 0 0 0
2 I 2 17 3 0 0 0 0 0 0
2 I 3 20 3 0 0 0 0 0 0
2 I 4 14 3 0 0 0 0 0 0
2 I 5 18 3 0 0 0 0 0 0
2 I 6 19 3 0 0 0 0 0 0
2 I 7 20 3 0 0 0 0 0 0
2 I 8 20 3 0 0 0 0 0 0
2 O -1 18 0 0 0 0 0 0 0
2 O 0 18 0 0 0 0 0 0 0
2 O 1 18 0 0 0 0 0 0 0
2 O 2 18 0 0 0 0 0 0 0
2 O 3 18 0 0 0 0 0 0 0
2 O 4 16 0 0 0 0 0 0 0
2 O 5 17 0 0 0 0 0 0 0
2 O 6 18 0 0 0 0 0 0 0
2 O 7 18 0 0 0 0 0 0 0
2 S 0 18 0 0 0 0 0 0 0
2 S 1 18 0 0 0 0 0 0 0
2 S 2 18 0 0 0 0 0 0 0
2 S 3 18 0 0 0 0 0 0 0
2 S 4 18 0 0 0 0 0 0 0
2 S 5 16 0 0 0 0 0 0 0
2 S 6 17 0 0 0 0 0 0 0
2 S 7 18 0 0 0 0 0 0 0
2 S 0 18 3 0 0 0 0 0 0
2 S 1 19 3 0 0 0 0 0 0
2 S 2 18 3 0 0 0 0 0 0
2 S 3 19 3 0 0 0 0 0 0
2 S 4 18 3 0 0 0 0 0 0
2 S 5 17 3 0 0 0 0 0 0
2 S 6 18 3 0 0 0 0 0 0
2 S 7 19 3 0 0 0 0 0 0
2 S 8 19 3 0 0 0 0 0 0
2 Z 0 18 0 0 0 0 0 0 0
2 Z 1 18 0 0 0 0 0 0 0
2 Z 2 18 0 0 0 0 0 0 0
2 Z 3 18 0 0 0 0 0 0 0
2 Z 4 17 0 0 0 0 0 0 0
2 Z 5 17 0 0 0 0 0 0 0
2 Z 6 18 0 0 0 0 0 0 0
2 Z 7 18 0 0 0 0 0 0 0
2 Z 0 19 3 0 0 0 0 0 0
2 Z 1 18 3 0 0 0 0 0 0
2 Z 2 19 3 0 0 0 0 0 0
2 Z 3 18 3 0 0 0 0 0 0
2 Z 4 19 3 0 0 0 0 0 0
2 Z 5 16 3 0 0 0 0 0 0
2 Z 6 17 3 0 0 0 0 0 0
2 Z 7 18 3 0 0 0 0 0 0
2 Z 8 19 3 0 0 0 0 0 0
2 L 0 18 0 0 0 0 0 0 0
2 L 1 18 0 0 0 0 0 0 0
2 L 2 18 0 0 0 0 0 0 0
2 L 3 18 0 0 0 0 0 0 0
2 L 4 18 0 0 0 0 0 0 0
2 L 5 17 0 0 0 0 0 0 0
2 L 6 18 0 0 0 0 0 0 0
2 L 7 18 0 0 0 0 0 0 0
2 L 0 17 3 0 0 0 0 0 0
2 L 1 19 3 0 0 0 0 0 0
2 L 2 17 3 0 0 0 0 0 0
2 L 3 19 3 0 0 0 0 0 0
2 L 4 17 3 0 0 0 0 0 0
2 L 5 17 3 0 0 0 0 0 0
2 L 6 18 3 0 0 0 0 0 0
2 L 7 19 3 0 0 0 0 0 0
2 L 8 19 3 0 0 0 0 0 0
2 L 0 19 2 0 0 0 0 0 0
2 L 1 18 2 0 0 0 0 0 0
2 L 2 19 2 0 0 0 0 0 0
2 L 3 18 2 0 0 0 0 0 0
2 L 4 19 2 0 0 0 0 0 0
2 L 5 17 2 0 0 0 0 0 0
2 L 6 18 2 0 0 0 0 0 0
2 L 7 18 2 0 0 0 0 0 0
2 L -1 19 1 0 0 0 0 0 0
2 L 0 19 1 0 0 0 0 0 0
2 L 1 19 1 0 0 0 0 0 0
2 L 2 19 1 0 0 0 0 0 0
2 L 3 19 1 0 0 0 0 0 0
2 L 4 17 1 0 0 0 0 0 0
2 L 5 18 1 0 0 0 0 0 0
2 L 6 19 1 0 0 0 0 0 0
2 L 7 19 1 0 0 0 0 0 0
2 J 0 18 0 0 0 0 0 0 0
2 J 1 18 0 0 0 0 0 0 0
2 J 2 18 0 0 0 0 0 0 0
2 J 3 18 0 0 0 0 0 0 0
2 J 4 18 0 0 0 0 0 0 0
2 J 5 17 0 0 0 0 0 0 0
2 J 6 18 0 0 0 0 0 0 0
2 J 7 18 0 0 0 0 0 0 0
2 J 0 19 3 0 0 0 0 0 0
2 J 1 19 3 0 0 0 0 0 0
2 J 2 19 3 0 0 0 0 0 0
2 J 3 19 3 0 0 0 0 0 0
2 J 4 19 3 0 0 0 0 0 0
2 J 5 17 3 0 0 0 0 0 0
2 J 6 18 3 0 0 0 0 0 0
2 J 7 19 3 0 0 0 0 0 0
2 J 8 19 3 0 0 0 0 0 0
2 J 0 19 2 0 0 0 0 0 0
2 J 1 18 2 0 0 0 0 0 0
2 J 2 19 2 0 0 0 0 0 0
2 J 3 18 2 0 0 0 0 0 0
2 J 4 18 2 0 0 0 0 0 0
2 J 5 18 2 0 0 0 0 0 0
2 J 6 19 2 0 0 0 0 0 0
2 J 7 19 2 0 0 0 0 0 0
2 J -1 19 1 0 0 0 0 0 0
2 J 0 17 1 0 0 0 0 0 0
2 J 1 19 1 0 0 0 0 0 0
2 J 2 17 1 0 0 0 0 0 0
2 J 3 19 1 0 0 0 0 0 0
2 J 4 15 1 0 0 0 0 0 0
2 J 5 17 1 0 0 0 0 0 0
2 J 6 18 1 0 0 0 0 0 0
2 J 7 19 1 0 0 0 0 0 0
2 T 3 18 0 0 1 1 0 0 0
2 T 3 19 2 0 257 1 1 0 0
2 T 3 19 3 0 257 1 1 0 0
2 T 3 19 1 0 257 1 1 0 0
2 T 2 18 0 0 257 1 1 0 0
2 T 4 18 0 0 257 1 1 0 0
2 T 4 18 3 0 257 1 1 0 0
2 T 2 18 1 0 257 1 1 0 0
2 T 1 18 0 0 1 1 0 0 0
2 T 2 18 2 0 257 1 1 0 0
2 T 2 18 3 0 257 1 1 0 0
2 T 4 18 2 0 257 1 1 0 0
2 T 1 19 2 0 257 1 1 0 0
2 T 1 19 3 0 257 1 1 0 0
2 T 1 19 1 0 257 1 1 0 0
2 T 0 18 0 0 257 1 1 0 0
2 T 0 18 1 0 257 1 1 0 0
2 T 5 17 0 0 257 1 1 0 0
2 T 6 18 0 0 257 1 1 0 0
2 T 5 17 3 0 257 1 1 0 0
2 T 6 18 3 0 257 1 1 0 0
2 T 0 18 2 0 257 1 1 0 0
2 T 0 18 3 0 257 1 1 0 0
2 T 5 17 2 0 257 1 1 0 0
2 T 5 17 1 0 257 1 1 0 0
2 T 7 18 0 0 1 1 0 0 0
2 T 6 18 2 0 257 1 1 0 0
2 T 6 18 1 0 257 1 1 0 0
2 T 4 16 1 0 257 1 1 0 0
2 T -1 19 1 0 1 1 0 0 0
2 T 7 19 2 0 257 1 1 0 0
2 T 7 19 3 0 257 1 1 0 0
2 T 7 19 1 0 257 1 1 0 0
2 T 8 19 3 0 257 1 1 0 0
2 T 4 16 0 0 257 1 1 0 0
2 T 4 16 2 0 257 1 1 0 0
2 T 4 15 3 0 257 1 1 0 0
2 T 3 16 2 0 1 1 0 0 0
2 T 3 15 0 0 257 1 1 0 0
2 T 2 16 2 0 65793 1 1 1 0
2 T 2 16 1 0 65793 1 1 1 0
2 T 2 16 0 0 65793 1 1 1 0
2 T 2 16 3 0 65793 1 1 1 0
3 I 0 14 0 0 0 0 0 0 0
3 I 1 14 0 0 0 0 0 0 0
3 I 2 14 0 0 0 0 0 0 0
3 I 3 14 0 0 0 0 0 0 0
3 I 4 14 0 0 0 0 0 0 0
3 I 5 14 0 0 0 0 0 0 0
3 I 6 14 0 0 0 0 0 0 0
3 I -1 13 3 0 0 0 0 0 0
3 I 0 16 3 0 0 0 0 0 0
3 I 1 15 3 0 0 0 0 0 0
3 I 2 16 3 0 0 0 0 0 0
3 I 3 15 3 0 0 0 0 0 0
3 I 4 16 3 0 0 0 0 0 0
3 I 5 16 3 0 0 0 0 0 0
3 I 6 12 3 0 0 0 0 0 0
3 I 7 16 3 0 0 0 0 0 0
3 I 8 16 3 0 0 0 0 0 0
3 O -1 14 0 0 0 0 0 0 0
3 O 0 14 0 0 0 0 0 0 0
3 O 1 14 0 0 0 0 0 0 0
3 O 2 14 0 0 0 0 0 0 0
3 O 3 14 0 0 0 0 0 0 0
3 O 4 14 0 0 0 0 0 0 0
3 O 5 14 0 0 0 0 0 0 0
3 O 6 14 0 0 0 0 0 0 0
3 O 7 14 0 0 0 0 0 0 0
3 S 0 14 0 0 0 0 0 0 0
3 S 1 14 0 0 0 0 0 0 0
3 S 2 14 0 0 0 0 0 0 0
3 S 3 14 0 0 0 0 0 0 0
3 S 4 14 0 0 0 0 0 0 0
3 S 5 14 0 0 0 0 0 0 0
3 S 6 14 0 0 0 0 0 0 0
3 S 7 14 0 0 0 0 0 0 0
3 S 0 15 3 0 0 0 0 0 0
3 S 1 14 3 0 0 0 0 0 0
3 S 2 15 3 0 0 0 0 0 0
3 S 3 14 3 0 0 0 0 0 0
3 S 4 15 3 0 0 0 0 0 0
3 S 5 15 3 0 0 0 0 0 0
3 S 6 14 3 0 0 0 0 0 0
3 S 7 15 3 0 0 0 0 0 0
3 S 8 15 3 0 0 0 0 0 0
3 Z 0 14 0 0 0 0 0 0 0
3 Z 1 14 0 0 0 0 0 0 0
3 Z 2 14 0 0 0 0 0 0 0
3 Z 3 14 0 0 0 0 0 0 0
3 Z 4 14 0 0 0 0 0 0 0
3 Z 5 14 0 0 0 0 0 0 0
3 Z 6 14 0 0 0 0 0 0 0
3 Z 7 14 0 0 0 0 0 0 0
3 Z 0 14 3 0 0 0 0 0 0
3 Z 1 15 3 0 0 0 0 0 0
3 Z 2 14 3 0 0 0 0 0 0
3 Z 3 15 3 0 0 0 0 0 0
3 Z 4 14 3 0 0 0 0 0 0
3 Z 5 15 3 0 0 0 0 0 0
3 Z 6 15 3 0 0 0 0 0 0
3 Z 7 14 3 0 0 0 0 0 0
3 Z 8 15 3 0 0 0 0 0 0
3 L 0 14 0 0 0 0 0 0 0
3 L 1 14 0 0 0 0 0 0 0
3 L 2 14 0 0 0 0 0 0 0
3 L 3 14 0 0 0 0 0 0 0
3 L 4 14 0 0 0 0 0 0 0
3 L 5 14 0 0 0 0 0 0 0
3 L 6 14 0 0 0 0 0 0 0
3 L 7 14 0 0 0 0 0 0 0
3 L 0 15 3 0 0 0 0 0 0
3 L 1 14 3 0 0 0 0 0 0
3 L 2 15 3 0 0 0 0 0 0
3 L 3 14 3 0 0 0 0 0 0
3 L 4 15 3 0 0 0 0 0 0
3 L 5 15 3 0 0 0 0 0 0
3 L 6 13 3 0 0 0 0 0 0
3 L 7 15 3 0 0 0 0 0 0
3 L 8 15 3 0 0 0 0 0 0
3 L 0 14 2 0 0 0 0 0 0
3 L 1 15 2 0 0 0 0 0 0
3 L 2 14 2 0 0 0 0 0 0
3 L 3 15 2 0 0 0 0 0 0
3 L 4 14 2 0 0 0 0 0 0
3 L 5 15 2 0 0 0 0 0 0
3 L 6 15 2 0 0 0 0 0 0
3 L 7 14 2 0 0 0 0 0 0
3 L -1 15 1 0 0 0 0 0 0
3 L 0 15 1 0 0 0 0 0 0
3 L 1 15 1 0 0 0 0 0 0
3 L 2 15 1 0 0 0 0 0 0
3 L 3 15 1 0 0 0 0 0 0
