pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
59,999,1166133751356283668,7930368668968764501,legacy,value,1,0,1,0,1,268,266,269,268,267,203,177,1,2,15,16,14,16,0,0,0,0,0
59,999,1166133751356283668,7930368668968764501,value,legacy,-1,1,0,0,2,123,117,126,122,123,84,89,2,0,5,6,8,10,0,0,0,0,0
60,999,5472483024933235761,14308971162228654378,legacy,value,-1,1,0,0,2,93,79,97,92,93,56,57,0,0,4,5,7,6,0,0,0,0,0
60,999,5472483024933235761,14308971162228654378,value,legacy,-1,1,0,0,2,118,117,124,117,118,74,80,1,0,5,6,7,5,0,0,0,0,0
61,999,10529857894929506466,17456170730066182020,legacy,value,1,0,1,0,1,140,161,151,140,139,112,103,3,0,11,10,3,9,0,0,0,0,0
61,999,10529857894929506466,17456170730066182020,value,legacy,-1,1,0,0,2,419,439,445,418,419,306,316,8,2,24,28,17,15,0,0,0,0,0
62,999,18251674250468488888,4243512282924264015,legacy,value,1,0,1,0,1,700,763,767,700,699,523,499,5,8,38,45,32,31,0,0,0,1,0
62,999,18251674250468488888,4243512282924264015,value,legacy,-1,1,0,0,2,550,595,612,549,550,412,415,6,7,36,29,24,22,0,0,0,0,0
63,999,10043760812212948857,7501169322860056479,legacy,value,-1,1,0,0,2,128,130,151,127,128,89,85,2,0,6,13,9,2,0,0,0,0,0
63,999,10043760812212948857,7501169322860056479,value,legacy,-1,1,0,0,2,117,117,122,116,117,75,86,0,2,8,7,5,6,0,0,1,1,0
64,999,13485233032020055548,17285597868655537182,legacy,value,-1,1,0,0,2,71,56,76,70,71,38,39,0,1,6,5,4,3,0,0,0,1,0
64,999,13485233032020055548,17285597868655537182,value,legacy,-1,1,0,0,2,108,104,119,107,108,67,76,0,2,8,7,6,4,0,0,0,0,0
65,999,13359533578648413438,719731804306835564,legacy,value,-1,1,0,0,2,30,19,44,29,30,17,18,0,0,2,3,1,0,0,0,0,1,0
65,999,13359533578648413438,719731804306835564,value,legacy,-1,1,0,0,2,90,73,81,89,90,48,57,2,1,3,4,5,4,0,0,0,0,0
66,999,7379851793969872682,12794913497253799127,legacy,value,1,0,1,0,1,353,356,357,353,352,258,240,5,1,16,22,23,22,0,0,0,0,0
66,999,7379851793969872682,12794913497253799127,value,legacy,-1,1,0,0,2,48,36,53,47,48,24,26,1,0,2,4,3,3,0,0,0,0,0
67,999,11046020382686088063,1398979454337954358,legacy,value,1,0,1,0,1,267,314,291,267,266,193,190,2,4,16,13,16,15,0,0,0,0,0
67,999,11046020382686088063,1398979454337954358,value,legacy,-1,1,0,0,2,450,489,479,449,450,316,348,1,2,34,20,22,20,0,0,1,0,0
68,999,9101054983980320535,6811144631106435531,legacy,value,1,0,1,0,1,246,254,239,246,245,171,169,2,2,19,16,13,11,0,0,1,0,0
68,999,9101054983980320535,6811144631106435531,value,legacy,-1,1,0,0,2,24,14,27,23,24,6,15,0,1,3,2,0,1,0,0,1,0,0
69,999,3357941261870465850,13818749933667700881,legacy,value,1,0,1,0,1,1006,1101,1115,1006,1005,759,726,3,8,73,62,41,53,0,0,1,0,0
69,999,3357941261870465850,13818749933667700881,value,legacy,1,0,1,0,1,44,48,31,44,43,27,24,1,2,4,3,1,1,0,0,0,0,0
70,999,8585569203319599490,13298108913612570967,legacy,value,1,0,1,0,1,93,89,83,93,92,61,54,1,1,7,8,4,3,0,0,0,0,0
70,999,8585569203319599490,13298108913612570967,value,legacy,-1,1,0,0,2,38,24,35,37,38,11,18,1,0,3,1,1,3,0,0,1,0,0
71,999,7315298505387874853,9805609001300247463,legacy,value,-1,1,0,0,2,168,156,184,167,168,113,113,1,1,10,14,9,7,0,0,0,0,0
71,999,7315298505387874853,9805609001300247463,value,legacy,1,0,1,0,1,719,761,721,719,718,504,521,8,9,50,46,37,31,0,0,0,0,0
72,999,1168491695311991757,16908312220295433969,legacy,value,1,0,1,0,1,558,584,597,558,557,403,379,7,4,33,34,27,36,0,0,0,0,0
72,999,1168491695311991757,16908312220295433969,value,legacy,-1,1,0,0,2,172,175,192,171,172,119,124,2,0,9,14,12,5,0,0,0,0,0
73,999,14624492174943453450,1534614779018844137,legacy,value,1,0,1,0,1,138,164,138,138,137,96,95,1,0,7,10,10,5,0,0,0,0,0
73,999,14624492174943453450,1534614779018844137,value,legacy,1,0,1,0,1,99,118,93,99,98,69,75,0,0,8,7,4,1,0,0,1,0,0
74,999,12930641808595835895,1283329607213168653,legacy,value,1,0,1,0,1,731,784,819,731,730,578,531,9,6,44,39,31,43,1,0,0,1,0
74,999,12930641808595835895,1283329607213168653,value,legacy,1,0,1,0,1,162,197,181,162,161,126,118,1,1,10,8,8,6,0,0,0,0,0
75,999,7682837916606104295,8221953074924277778,legacy,value,1,0,1,0,1,391,429,411,391,390,286,285,5,6,22,27,23,15,0,0,0,0,0
75,999,7682837916606104295,8221953074924277778,value,legacy,-1,1,0,0,2,62,46,69,61,62,28,37,2,0,1,6,5,2,0,0,0,0,0
76,999,14040346235333160796,12875518752082093041,legacy,value,1,0,1,0,1,67,56,43,67,66,34,28,0,0,6,4,4,3,0,0,0,0,0
76,999,14040346235333160796,12875518752082093041,value,legacy,-1,1,0,0,2,27,9,26,26,27,11,12,0,0,2,3,0,1,0,0,0,1,0
77,999,17263443237620847908,509590350220015470,legacy,value,1,0,1,0,1,518,526,539,518,517,381,353,4,8,21,27,33,31,0,0,0,0,0
77,999,17263443237620847908,509590350220015470,value,legacy,1,0,1,0,1,200,224,199,200,199,142,149,1,4,9,7,15,9,1,0,0,0,0
78,999,13802999190396374832,5182480036678363988,legacy,value,1,0,1,0,1,428,436,445,428,427,322,303,2,4,22,26,24,26,0,0,1,0,0
78,999,13802999190396374832,5182480036678363988,value,legacy,1,0,1,0,1,238,266,242,238,237,164,167,3,1,16,13,10,13,0,0,0,0,0
79,999,1244131270576675375,2816395122127501144,legacy,value,-1,1,0,0,2,580,583,612,579,580,411,402,4,7,31,26,32,40,0,0,0,0,0
79,999,1244131270576675375,2816395122127501144,value,legacy,1,0,1,0,1,407,442,418,407,406,292,299,4,4,27,21,20,15,0,0,1,0,0
80,999,1031989873944794609,6887834142988754660,legacy,value,1,0,1,0,1,543,601,610,543,542,422,397,3,6,36,26,28,30,0,0,0,1,0
80,999,1031989873944794609,6887834142988754660,value,legacy,-1,1,0,0,2,265,277,272,264,265,190,211,3,3,16,17,14,10,0,0,0,0,0
81,999,14656119134496302926,679384435271887731,legacy,value,1,0,1,0,1,183,183,182,183,182,135,116,1,2,12,12,7,11,0,0,0,0,0
81,999,14656119134496302926,679384435271887731,value,legacy,-1,1,0,0,2,197,209,226,196,197,144,149,0,3,13,13,11,7,0,0,0,0,0
82,999,6967401715950034985,11307038261373621263,legacy,value,1,0,1,0,1,32,36,20,32,31,19,10,0,0,5,2,0,2,0,0,0,0,0
82,999,6967401715950034985,11307038261373621263,value,legacy,-1,1,0,0,2,72,61,76,71,72,43,49,1,1,4,2,4,7,0,0,0,0,0
83,999,10652450418056666775,13625317809065629474,legacy,value,1,0,1,0,1,178,199,205,178,177,143,121,5,2,9,6,4,11,0,0,0,0,0
83,999,10652450418056666775,13625317809065629474,value,legacy,-1,1,0,0,2,188,206,213,187,188,132,148,0,0,12,9,14,10,0,0,0,0,0
84,999,16868332502116975057,8174427132987262637,legacy,value,-1,1,0,0,2,232,213,230,231,232,149,154,3,2,18,14,9,13,0,0,0,1,0
